evaluation_run_id,experiment_name,family,policy_set,architecture,role,bits,merkle_depth,composition_id,comparison_group,binding_mode,execution_mode,component_count,component_names,proving_system,attempted_runs,successful_runs,failed_runs,binding_failures,constraints,proof_size_bytes,public_size_bytes,witness_time_s_count,witness_time_s_mean,witness_time_s_median,witness_time_s_stdev,witness_time_s_min,witness_time_s_p25,witness_time_s_p75,witness_time_s_iqr,witness_time_s_p95,witness_time_s_max,witness_time_s_cv,prove_time_s_count,prove_time_s_mean,prove_time_s_median,prove_time_s_stdev,prove_time_s_min,prove_time_s_p25,prove_time_s_p75,prove_time_s_iqr,prove_time_s_p95,prove_time_s_max,prove_time_s_cv,verify_time_s_count,verify_time_s_mean,verify_time_s_median,verify_time_s_stdev,verify_time_s_min,verify_time_s_p25,verify_time_s_p75,verify_time_s_iqr,verify_time_s_p95,verify_time_s_max,verify_time_s_cv,bundle_check_time_s_count,bundle_check_time_s_mean,bundle_check_time_s_median,bundle_check_time_s_stdev,bundle_check_time_s_min,bundle_check_time_s_p25,bundle_check_time_s_p75,bundle_check_time_s_iqr,bundle_check_time_s_p95,bundle_check_time_s_max,bundle_check_time_s_cv,total_online_time_s_count,total_online_time_s_mean,total_online_time_s_median,total_online_time_s_stdev,total_online_time_s_min,total_online_time_s_p25,total_online_time_s_p75,total_online_time_s_iqr,total_online_time_s_p95,total_online_time_s_max,total_online_time_s_cv
20260728T123050Z_paper_groth16,separate_account_core_32,account_policy_core,pi_valid+pi_trans+pi_limit,account,composition_baseline,32,,account_core_b32,baseline,unbound,separate,3,local_financial_validity_32;state_transition_and_conservation_32;operating_limit_32,groth16,30,30,0,0,445.0,2414.0,22.0,30,0.06156730726668987,0.060648589499805894,0.0031461868673033047,0.05662168499998188,0.0599623700002212,0.0626963177501807,0.0027339477499594977,0.06745911964999322,0.07186084400018444,0.05110158308004328,30,0.8945296409666298,0.893863240999849,0.03070769621856356,0.8486928699994678,0.8694916945001978,0.9154985597500627,0.04600686524986486,0.9446631399001149,0.9493809630002943,0.034328316035878687,30,0.7813937755667136,0.7764804710001272,0.02293382447664921,0.7293295169997691,0.7654172245002542,0.7984337675000575,0.03301654299980328,0.816445524899757,0.825265040999966,0.02934989398913016,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1.7374907238000332,1.7313909304999697,0.0519526889999375,1.645942298999671,1.6978550870000504,1.780927556750271,0.08307246975022053,1.8159676232499238,1.8284950039997057,0.029900987837398495
20260728T123050Z_paper_groth16,separate_account_core_64,account_policy_core,pi_valid+pi_trans+pi_limit,account,composition_baseline,64,,account_core_b64,baseline,unbound,separate,3,local_financial_validity_64;state_transition_and_conservation_64;operating_limit_64,groth16,30,30,0,0,861.0,2415.0,32.0,30,0.06407183596667589,0.06378662949987302,0.0032031715245817403,0.05876374100034809,0.06181797250008003,0.06659151450020317,0.004773542000123143,0.06880848625008866,0.0704364970001734,0.049993440585153946,30,0.9122586627667185,0.9052685765000206,0.037146423835900264,0.8595062919994234,0.8869765867503929,0.9355930459998945,0.04861645924950153,0.9597888819000786,1.033687165000174,0.04071917905744162,30,0.7872852415000124,0.7813858734999712,0.031019882511608653,0.7447039480002786,0.7614478567497827,0.810263518750105,0.04881566200032239,0.8339516467000521,0.8594155720006711,0.0394010720339512,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1.763615740233407,1.7489640604999295,0.06351540250750767,1.6721319309999672,1.7140292619994852,1.8189754385006722,0.10494617650118698,1.8517988938001166,1.9270314630002758,0.036014309159602804
20260728T123050Z_paper_groth16,separate_token_bundle_32_depth_16,token_policy_bundle,pi_mem+pi_null+pi_valid+pi_budget,token,composition_baseline,32,16,token_bundle_b32_d16,baseline,unbound,separate,4,merkle_membership_depth_16;nullifier_correctness_poseidon;local_financial_validity_32;privacy_budget_32,groth16,30,30,0,0,9113.0,3220.0,267.0,30,0.11323481656658411,0.11219296399985978,0.00423203661411435,0.10686020200000712,0.11015190775003703,0.11654743200006124,0.006395524250024209,0.12026561439995476,0.12119123399975251,0.037373987457522274,30,1.4332345572666934,1.423576181000385,0.0465006425511885,1.3576381940006286,1.3983314847498605,1.469621085750532,0.07128960100067161,1.514748858700011,1.5225977380000586,0.03244454462490033,30,1.0427224319333541,1.0369985440000846,0.03628861391754487,0.9847100209999553,1.0205645430003187,1.0595644842499041,0.03899994124958539,1.0853238134001684,1.179338660999747,0.03480179653396415,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2.5891918057666317,2.58582103849983,0.07202107168919848,2.4849662879996686,2.5253446600002576,2.646258474750198,0.12091381474994023,2.70249614760022,2.7344467639995855,0.02781604341895166
20260728T123050Z_paper_groth16,separate_token_bundle_32_depth_32,token_policy_bundle,pi_mem+pi_null+pi_valid+pi_budget,token,composition_baseline,32,32,token_bundle_b32_d32,baseline,unbound,separate,4,merkle_membership_depth_32;nullifier_correctness_poseidon;local_financial_validity_32;privacy_budget_32,groth16,30,30,0,0,17433.0,3221.5,267.0,30,0.11692780916665318,0.11528465200012761,0.005176430465554752,0.1079271969997535,0.11379269774977274,0.1188288012494354,0.005036103499662659,0.12756582215032494,0.12956332900012058,0.04427031090762133,30,1.607378647299894,1.6107720245001929,0.05772060714200787,1.5060311600000205,1.5663246804999176,1.6403449824997551,0.07402030199983756,1.6978203644502967,1.7425753530001202,0.03590977598151379,30,1.052914718366651,1.0537661600002366,0.031143307282036355,0.9935433339996962,1.0329179944994848,1.071282152749916,0.038364158250431046,1.1048333406000552,1.1227234180000778,0.029578185905072975,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2.7772211748331985,2.7795304189994567,0.08539439158007424,2.6247530189998542,2.7251666492504683,2.8236164729996744,0.09844982374920619,2.902724659950161,2.981757292000566,0.030748142191160944
20260728T123050Z_paper_groth16,separate_token_bundle_32_depth_8,token_policy_bundle,pi_mem+pi_null+pi_valid+pi_budget,token,composition_baseline,32,8,token_bundle_b32_d8,baseline,unbound,separate,4,merkle_membership_depth_8;nullifier_correctness_poseidon;local_financial_validity_32;privacy_budget_32,groth16,30,30,0,0,4953.0,3220.0,267.0,30,0.11406698573328716,0.1143953909999027,0.0033366390383810633,0.1074178810004014,0.11134433124993848,0.11610304650014314,0.004758715250204659,0.11875665685009834,0.12197616099979314,0.02925157543991593,30,1.3382356820999728,1.343967158999476,0.03900613839453902,1.2506293759997789,1.3128780794996828,1.358684416250128,0.0458063367504451,1.3925581512501024,1.4250924709999708,0.02914743562459058,30,1.048014942733304,1.0458034629996291,0.0257483252798865,0.992564138999569,1.0324777244996994,1.063392432500109,0.03091470800040952,1.0912128140999813,1.1118564719999995,0.024568662363470575,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2.500317610566564,2.511703372999591,0.059643409167094784,2.376924793999933,2.4646389499997667,2.5428389589997664,0.07820000899999968,2.5706390011501186,2.631865474999586,0.02385433311153609
20260728T123050Z_paper_groth16,separate_valid_limit_16,local_validity_and_operating_limit,pi_valid+pi_limit,account,composition_baseline,16,,valid_limit_b16,baseline,unbound,separate,2,local_financial_validity_16;operating_limit_16,groth16,30,30,0,0,148.0,1610.0,15.0,30,0.0413401715999953,0.04060508700001719,0.002328029864420716,0.03756150000026537,0.03979981350016715,0.04235271524999007,0.0025529017498229223,0.04591687704997867,0.04692896699998528,0.05631398647655785,30,0.5821186343332784,0.5817579294998723,0.019280208303707542,0.5468055519995687,0.5716762244999245,0.5961803439998903,0.024504119499965782,0.6124115416998052,0.6198961430000054,0.033120754373015156,30,0.5259142437666772,0.5249045784997861,0.019965645403428305,0.4841236210004354,0.5158771850001358,0.535089241499918,0.019212056499782193,0.5559272259498357,0.5788641889998871,0.03796369016444837,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1.1493730496999508,1.1419843544995274,0.0347458952074853,1.1053364730005342,1.1178202885004112,1.1771739664994811,0.05935367799906999,1.193573524050032,1.2456892989998778,0.03023030269985526
20260728T123050Z_paper_groth16,separate_valid_limit_32,local_validity_and_operating_limit,pi_valid+pi_limit,account,composition_baseline,32,,valid_limit_b32,baseline,unbound,separate,2,local_financial_validity_32;operating_limit_32,groth16,30,30,0,0,276.0,1609.0,19.0,30,0.04156402940003166,0.04096265349983241,0.0027268706042493326,0.03771883700028411,0.03988222150019283,0.04212481575018501,0.0022425942499921803,0.04630540220014154,0.04959024499999032,0.06560650263247228,30,0.5957180999666131,0.5882145934997425,0.024166680142436836,0.5581437010000627,0.5800519707503327,0.613467942250054,0.03341597149972131,0.6380972717998589,0.6407413750000615,0.04056730883918292,30,0.521545698666614,0.5195635904999563,0.023058974749883346,0.486779237999599,0.5015753085002643,0.5362248355000929,0.034649526999828595,0.5551369813998462,0.577293219000012,0.044212759895894106,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1.158827828033259,1.1543663280000374,0.04372124120781229,1.0998615950006752,1.1219221605002758,1.180701149000015,0.05877898849973917,1.2333851929498905,1.2649363969999285,0.0377288499207127
20260728T123050Z_paper_groth16,separate_valid_limit_64,local_validity_and_operating_limit,pi_valid+pi_limit,account,composition_baseline,64,,valid_limit_b64,baseline,unbound,separate,2,local_financial_validity_64;operating_limit_64,groth16,30,30,0,0,532.0,1610.0,29.0,30,0.04272741660000368,0.04246966599998814,0.002624616047586559,0.038498251999953936,0.0411626807497214,0.04405344425009616,0.00289076350037476,0.048039744249956585,0.048191130000077465,0.06142697725343715,30,0.6085890458333627,0.6092014225001776,0.02279210041291885,0.5712210719998438,0.5908049112498475,0.6278715705001332,0.03706665925028574,0.6411069238000096,0.6616150659999676,0.037450724045992013,30,0.5230480050999707,0.5212751069998376,0.020107936743075722,0.48409042000002955,0.514538775500057,0.5389551045002463,0.024416329000189307,0.5566003384998794,0.5661895039997944,0.03844376911299465,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1.1743644675333371,1.16706068100018,0.03991476099996702,1.1098844400000871,1.139940945750368,1.2054482519999965,0.06550730624962853,1.2291916135000178,1.2622339399999873,0.03398839295930413
20260728T123050Z_paper_groth16,state_transition_and_conservation_16,state_transition_and_conservation,pi_trans,account,individual_policy,16,,,,none,monolithic,1,state_transition_and_conservation_16,groth16,30,30,0,0,89.0,804.0,3.0,30,0.020608713966680625,0.02027117450006699,0.0015314220068605366,0.018487747000108357,0.019711658749827166,0.021249243500051307,0.0015375847502241413,0.02341221285001893,0.02519401600011406,0.07430944062479981,30,0.29001146620000023,0.2881285304999892,0.01219844927246422,0.2726836619999631,0.28135155224993014,0.2948160385000165,0.013464486250086338,0.31035374084993916,0.32843648900006883,0.04206195510922254,30,0.26095319913329906,0.2591130430000703,0.013902620611562243,0.2364594109999416,0.2502599697501182,0.26837352350008814,0.018113553749969924,0.27780581215004074,0.3120536449998781,0.05327629880659391,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.57157337929998,0.5713166535001619,0.02293910926524195,0.5360392719994707,0.554944274750369,0.582110184250098,0.02716590949972897,0.6149189155499357,0.6399584050000158,0.04013327089049536
20260728T123050Z_paper_groth16,state_transition_and_conservation_32,state_transition_and_conservation,pi_trans,account,individual_policy,32,,,,none,monolithic,1,state_transition_and_conservation_32,groth16,30,30,0,0,169.0,805.0,3.0,30,0.021719526966649028,0.021140364500070064,0.00216284732712966,0.01943533799976649,0.020717400249964157,0.022264623749833845,0.0015472234998696877,0.024345875549977334,0.03097039499971288,0.09958077496120314,30,0.29566027776663,0.29278989399995226,0.011895528909153734,0.2767332749999696,0.286528089250055,0.3039137532499012,0.0173856639998462,0.31579314884994575,0.31947390799996356,0.0402337743812278,30,0.2570711595666353,0.25203255299970806,0.01570752750754945,0.23732327299967437,0.24714579400006187,0.2676033784998708,0.020457584499808945,0.2812835801499659,0.3051297789997989,0.06110186585702123,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.5744509642999144,0.5730121734998193,0.024004309466041675,0.5426962989999993,0.5554802837499437,0.5875321725000617,0.032051888750117996,0.6133154825998417,0.6457704929998727,0.04178652479989449
