evaluation_run_id,timestamp_utc,phase,block,repetition,order_index,parent_experiment,parent_execution_mode,composition_id,comparison_group,binding_mode,component_index,component_name,component_family,proving_system,witness_time_s,prove_time_s,verify_time_s,total_online_time_s,proof_size_bytes,public_size_bytes,verification_ok,binding_ok,status,error
20260728T123050Z_paper_groth16,2026-07-28T12:36:33.884513+00:00,measured,1,1,21,account_policy_core_64,monolithic,account_core_b64,baseline,shared_witness,1,account_policy_core_64,account_policy_core,groth16,0.02316222900003595,0.31913622199999736,0.2772134189999633,0.6195118699999966,805,26,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:34.742147+00:00,measured,1,1,22,merkle_membership_depth_16,monolithic,,,none,1,merkle_membership_depth_16,merkle_membership,groth16,0.042325646999870514,0.5369678039999144,0.2776975079998465,0.8569909589996314,805,84,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:35.513485+00:00,measured,1,1,23,token_policy_bundle_32_depth_8,monolithic,token_bundle_b32_d8,baseline,shared_witness,1,token_policy_bundle_32_depth_8,token_policy_bundle,groth16,0.0477198999999473,0.4488375089999863,0.2739393609999752,0.7704967699999088,805,261,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:36.081622+00:00,measured,1,1,24,state_transition_and_conservation_32,monolithic,,,none,1,state_transition_and_conservation_32,state_transition_and_conservation,groth16,0.02079454599993369,0.29225184799997805,0.25448649700001624,0.567532890999928,806,3,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:36.632943+00:00,measured,1,1,25,local_financial_validity_64,monolithic,,,none,1,local_financial_validity_64,local_financial_validity,groth16,0.022285757999952693,0.27760852300002625,0.2508165059998646,0.5507107869998435,807,3,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:37.215011+00:00,measured,1,1,26,privacy_budget_32,monolithic,,,none,1,privacy_budget_32,privacy_budget,groth16,0.022369176999973206,0.30332815699989624,0.25556176400004915,0.5812590979999186,804,16,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:39.000952+00:00,measured,1,1,27,separate_account_core_64,separate,account_core_b64,baseline,unbound,1,local_financial_validity_64,local_financial_validity,groth16,0.022112445999937336,0.28797936000000846,0.24780517399995006,0.5578969799998958,802,3,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:39.000952+00:00,measured,1,1,27,separate_account_core_64,separate,account_core_b64,baseline,unbound,2,state_transition_and_conservation_64,state_transition_and_conservation,groth16,0.021192668000139747,0.3136700360000759,0.2876947459999428,0.6225574500001585,805,3,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:39.000952+00:00,measured,1,1,27,separate_account_core_64,separate,account_core_b64,baseline,unbound,3,operating_limit_64,operating_limit,groth16,0.021849425000027622,0.31620681599997624,0.2644559930001833,0.6025122340001872,806,26,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:39.564612+00:00,measured,1,1,28,privacy_budget_16,monolithic,,,none,1,privacy_budget_16,privacy_budget,groth16,0.019717189999937546,0.29704586399998334,0.24626479099993048,0.5630278449998514,804,11,True,,ok,
