evaluation_run_id,timestamp_utc,phase,block,repetition,order_index,experiment_name,family,policy_set,architecture,role,bits,merkle_depth,composition_id,comparison_group,binding_mode,execution_mode,component_count,component_names,proving_system,constraints,witness_time_s,prove_time_s,verify_time_s,bundle_check_time_s,total_online_time_s,proof_size_bytes,public_size_bytes,proofs_ok,binding_ok,verification_ok,status,error
20260728T123050Z_paper_groth16,2026-07-28T12:36:37.215011+00:00,measured,1,1,26,privacy_budget_32,privacy_budget,pi_budget,account,individual_policy,32,,,,none,monolithic,1,privacy_budget_32,groth16,172,0.022369176999973206,0.30332815699989624,0.25556176400004915,0.0,0.5812590979999186,804,16,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:39.000952+00:00,measured,1,1,27,separate_account_core_64,account_policy_core,pi_valid+pi_trans+pi_limit,account,composition_baseline,64,,account_core_b64,baseline,unbound,separate,3,local_financial_validity_64;state_transition_and_conservation_64;operating_limit_64,groth16,861,0.0651545390001047,0.9178562120000606,0.7999559130000762,0.0,1.7829666640002415,2413,32,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:39.564612+00:00,measured,1,1,28,privacy_budget_16,privacy_budget,pi_budget,account,individual_policy,16,,,,none,monolithic,1,privacy_budget_16,groth16,92,0.019717189999937546,0.29704586399998334,0.24626479099993048,0.0,0.5630278449998514,804,11,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:40.486247+00:00,measured,1,1,29,linked_token_bundle_monolithic_32_depth_16,token_policy_bundle,pi_mem+pi_null+pi_valid+pi_budget,token,composition,32,16,token_bundle_b32_d16,commitment_linked,tx_tag,monolithic,1,linked_token_bundle_monolithic_32_depth_16,groth16,11114,0.062379840999938097,0.5883710109999356,0.26867758200000935,2.172999984395574e-06,0.9194306069998675,806,342,True,True,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:41.105783+00:00,measured,1,1,30,account_policy_with_privacy_budget_32,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition,32,,account_budget_b32,baseline,shared_witness,monolithic,1,account_policy_with_privacy_budget_32,groth16,485,0.02304328200011696,0.33180366999999933,0.2640985420000561,0.0,0.6189454940001724,805,30,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:41.689605+00:00,measured,1,1,31,local_financial_validity_32,local_financial_validity,pi_valid,account,individual_policy,32,,,,none,monolithic,1,local_financial_validity_32,groth16,104,0.02373949600018932,0.2930840479998551,0.26639200599993273,0.0,0.5832155499999772,805,3,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:42.267244+00:00,measured,1,1,32,operating_limit_16,operating_limit,pi_limit,account,individual_policy,16,,,,none,monolithic,1,operating_limit_16,groth16,92,0.02208985000015673,0.2836187370000971,0.2712421290000293,0.0,0.5769507160002831,807,12,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:42.861284+00:00,measured,1,1,33,local_financial_validity_16,local_financial_validity,pi_valid,account,individual_policy,16,,,,none,monolithic,1,local_financial_validity_16,groth16,56,0.023149059999923338,0.3064463709999927,0.26370192300009876,0.0,0.5932973540000148,801,3,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:43.906254+00:00,measured,1,1,34,merkle_membership_depth_32,merkle_membership,pi_mem,token,individual_policy,,32,,,none,monolithic,1,merkle_membership_depth_32,groth16,16640,0.04542518299990661,0.7052004449999458,0.29363165800009483,0.0,1.0442572859999473,805,84,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:46.710061+00:00,measured,1,1,35,separate_token_bundle_32_depth_32,token_policy_bundle,pi_mem+pi_null+pi_valid+pi_budget,token,composition_baseline,32,32,token_bundle_b32_d32,baseline,unbound,separate,4,merkle_membership_depth_32;nullifier_correctness_poseidon;local_financial_validity_32;privacy_budget_32,groth16,17433,0.12124296300021342,1.622943204999956,1.057395525000402,0.0,2.8015816930005712,3223,267,True,,True,ok,
